Country	Researchers per million	coffee_consump
Finland	7707	12
Iceland	7315	9
Denmark	5670	8.7
Japan	5573	3.3
Norway	5468	9.9
Sweden	5239	8.2
Luxembourg	4748	6.8
United States of America	4663	4.2
Republic of Korea	4627	1.8
New Zealand	4365	3.7
United Kingdom	4269	2.8
Canada	4260	6.5
Australia	4224	3
Austria	4123	6.1
Portugal	3799	4.3
Germany	3532	6.4
France	3496	5.4
Slovenia	3490	5.8
Switzerland	3436	7.9
Belgium	3435	6.8
Russia	3191	1.7
Ireland	3090	3.5
Netherlands	3089	8.4
Jordan	3030	1.9
Estonia	2966	4.5
Spain	2944	4.5
Czech Republic	2886	4
Hong Kong	2650	1.1
Lithuania	2547	4.1
Slovakia	2331	4
Belarus	1953	0.6
Latvia	1935	3.4
Greece	1873	5.5
Georgia	1817	1.3
Hungary	1733	3.1
Poland	1623	2.4
Italy	1616	5.9
Tunisia	1588	1.1
China	1071	0
Croatia	1514	5.1
Bulgaria	1499	2.9
Azerbaijan	1358	0
Ukraine	1458	1.4
Armenia	1339	1.4
Malta	1286	2.3
Serbia	1196	3.5
Montenegro	1081	3.5
Cyprus	1026	4.9
Argentina	980	1
Botswana	942	0.6
Romania	908	2.3
Chile	833	0.8
Moldova	726	0.4
Iran	706	0.1
Turkey	680	0.4
Mongolia	666	0.3
Morocco	647	0.9
Kazakhstan	646	0.3
Egypt	617	0.1
Cuba	493	1.2
Trinidad and Tobago	477	0
South Africa	393	0.4
Malaysia	372	0.9
Uruguay	346	0.9
Thailand	311	0.5
Sudan	290	0.6
Brunei	281	4
Senegal	276	0.1
Nigeria	203	0
Bosnia and Herzegovina	197	6.1
Saint Vincent and the Grenadines	194	0.2
Venezuela	187	1.6
Peru	181	0.2
Democratic Republic of the Congo	176	0.2
Algeria	170	3.5
Kuwait	166	1.6
Panama	144	1.2
Cape Verde	132	1.2
Bolivia	120	0.4
Gabon	107	0
Sri Lanka	93	0.1
Philippines	81	0.7
Paraguay	71	0.2
Ecuador	69	0.7
Zambia	67	0
Libyan	60	0.3
Nepal	59	0
Madagascar	50	1.4
Mali	42	0
Saudi Arabia	41	1.6
Congo	34	0
Togo	34	0
Gambia	30	1.1
Cameroon	26	0.2
Myanmar	18	0
Cambodia	17	0
Laos	16	1.4
Mozambique	16	0
Burkina Faso	13	0.1
Central African Republic	10	0.3
Lesotho	10	0.1
Niger	8	0.2
Brazil	694	5.6
Vietnam	115	0.7
Colombia	126	1.8
Indonesia	205	0.5
Ethiopia	21	1.3
India	137	0.1
Mexico	353	1.2
Guatemala	29	1.3
Honduras	81	3.9
Uganda	29	0.3
Cote d'Ivoire	66	1
Costa Rica	122	3.8
El Salvador	49	1.9
Nicaragua	61	2
Singapore	0	0
