species	length_m	mass_kg
Staurikosaurus pricei	2.08	19.0
Coelophysis bauri	2.68	15.3
Coelophysis rhodesiensis	2.15	13.0
Elaphrosaurus bambergi	6.2	210
Liliensternus liliensterni	5.15	127
Dilophosaurus wetherilli	6.03	283
Ceratosaurus nasicoris	5.69	524
Eustreptospondylus oxoniensis	4.63	218
Metriacanthosaurus	3.8	130
Allosaurus fragilis	7.4	1010
Allosaurus atrox	7.9	1320
Gorgosaurus libratus	5.8	700
Gorgosaurus libratus	8.6	2500
Daspletosaurus torosus	9.0	2300
Tarbosaurus bataar	5.8	760
Tarbosaurus bataar	7.7	2100
Tyrannosaurus rex	10.6	5700
Deinonychus antirrhopus	3.06	45
Deinonychus antirrhopus	3.43	73
Velociraptor mongoliensis	2.07	15
Ornithomimus edmontonicus	3.3	110
Ornithomimus brevitertius	3.66	144
Gallimimus bullatus	2.15	27
Gallimimus bullatus	6.0	440
