title	year
Henry VI, Part 1	1591
Henry VI, Part 2	1591
Henry VI, Part 3	1591
Richard III	1592
The Comedy of Errors	1592
Titus Andronicus	1593
The Taming of the Shrew	1593
The Two Gentlemen of Verona	1594
Love's Labour's Lost	1594
Romeo and Juliet	1594
Richard II	1595
A Midsummer Night's Dream	1595
King John	1596
The Merchant of Venice	1596
Henry IV, Part 1	1597
Henry IV, Part 2	1597
Much Ado About Nothing	1598
Henry V	1598
Julius Caesar	1599
As You Like It	1599
Twelfth Night	1599
Hamlet	1600
The Merry Wives of Windsor	1600
Troilus and Cressida	1601
All's Well That Ends Well	1602
Measure for Measure	1604
Othello	1604
King Lear	1605
Macbeth	1605
Antony and Cleopatra	1606
Coriolanus	1607
Timon of Athens	1607
Pericles, Prince of Tyre	1608
Cymbeline	1609
The Winter's Tale	1610
The Tempest	1611
Henry VIII	1612
