Words	Play	Genre
30557	Hamlet	Tragedy
29278	Richard III	History
27589	Coriolanus	Tragedy
27565	Cymbeline	Tragedy
26450	Othello	Tragedy
26145	King Lear	Tragedy
26119	Henry V	History
26089	Troilus and Cressida	Tragedy
25689	Henry IV, Part II	History
25439	Henry VI, Part II	History
24914	Winter's Tale	Comedy
24905	Antony and Cleopatra	Tragedy
24629	Henry VIII	History
24579	Henry IV, Part I	History
24545	Romeo and Juliet	Tragedy
24294	Henry VI, Part III	History
23009	All's Well That Ends Well	Comedy
22423	Richard II	History
21845	Merry Wives of Windsor	Comedy
21780	Measure for Measure	Comedy
21690	As You Like It	Comedy
21607	Henry VI, Part I	History
21459	Love's Labour's Lost	Comedy
21291	Merchant of Venice	Comedy
21157	Much Ado about Nothing	Comedy
21055	Taming of the Shrew	Comedy
20772	King John	History
20743	Titus Andronicus	Tragedy
19837	Twelfth Night	Comedy
19703	Julius Caesar	Tragedy
18529	Pericles	History
18216	Timon of Athens	Tragedy
17129	Two Gentlemen of Verona	Comedy
17121	Macbeth	Tragedy
16633	Tempest	Comedy
16511	Midsummer Night's Dream	Comedy
14701	Comedy of Errors	Comedy
