date	temp	city
1918	25.0	buffalo_ny
1919	69.4	buffalo_ny
1920	53.5	buffalo_ny
1921	39.8	buffalo_ny
1922	63.6	buffalo_ny
1923	46.7	buffalo_ny
1924	72.9	buffalo_ny
1925	79.6	buffalo_ny
1926	83.6	buffalo_ny
1927	80.7	buffalo_ny
1928	60.3	buffalo_ny
1929	79.0	buffalo_ny
1930	64.8	buffalo_ny
1931	49.6	buffalo_ny
1932	54.7	buffalo_ny
1933	71.8	buffalo_ny
1934	49.1	buffalo_ny
1935	103.9	buffalo_ny
1936	51.6	buffalo_ny
1937	81.6	buffalo_ny
1918	1.8	cairo_il
1919	4.5	cairo_il
1920	13.9	cairo_il
1921	4.0	cairo_il
1922	1.2	cairo_il
1923	6.8	cairo_il
1924	7.2	cairo_il
1925	11.5	cairo_il
1926	6.2	cairo_il
1927	0.4	cairo_il
1928	11.5	cairo_il
1929	12.4	cairo_il
1930	11.3	cairo_il
1931	2.9	cairo_il
1932	7.4	cairo_il
1933	2.7	cairo_il
1934	1.6	cairo_il
1935	14.1	cairo_il
1936	5.4	cairo_il
1937	3.0	cairo_il
