state	peak	elev_ft
Alabama	Cheaha Mountain	2405
Alaska	Denali	20320
Arizona	Humphreys Peak	12633
Arkansas	Magazine Mountain	2753
California	Mount Whitney	14495
Colorado	Mount Elbert	14433
Connecticut	Mount Frissell-South Slope	2372
Delaware	Ebright Azimuth	442
Florida	Britton Hill	345
Georgia	Brasstown Bald	4784
Hawaii	Mauna Kea	13796
Idaho	Borah Peak	12662
Illinois	Charles Mound	1235
Indiana	Hoosier Hill	1257
Iowa	Hawkeye Point	1670
Kansas	Mount Sunflower	4039
Kentucky	Black Mountain	4139
Louisiana	Driskill Mountain	535
Maine	Katahdin	5268
Maryland	Backbone Mountain	3360
Massachusetts	Mount Greylock	3487
Michigan	Mount Arvon	1978
Minnesota	Eagle Mountain	2301
Mississippi	Woodall Mountain	806
Missouri	Taum Sauk Mountain	1772
Montana	Granite Peak	12799
Nebraska	Panorama Point	5426
Nevada	Boundary Peak	13140
New Hampshire	Mount Washington	6288
New Jersey	High Point	1803
New Mexico	Wheeler Peak	13161
New York	Mount Marcy	5344
North Carolina	Mount Mitchell	6684
North Dakota	White Butte	3506
Ohio	Campbell Hill	1549
Oklahoma	Black Mesa	4973
Oregon	Mount Hood	11239
Pennsylvania	Mount Davis	3213
Rhode Island	Jerimoth Hill	812
South Carolina	Sassafras Mountain	3554
South Dakota	Harney Peak	7242
Tennessee	Clingmans Dome	6643
Texas	Guadalupe Peak	8749
Utah	Kings Peak	13528
Vermont	Mount Mansfield	4393
Virginia	Mount Rogers	5729
Washington	Mount Rainier	14411
West Virginia	Spruce Knob	4861
Wisconsin	Timms Hill	1951
Wyoming	Gannett Peak	13804
